,country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
26249,USA,United States of America,Catawba River Pollution Control,USA0056553,1.3,35.7766,-81.6643,Oil,,,,2009.0,City of Morganton - (NC),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,67602,2019.0,0.056,0.035,0.036,0.026,0.012,0.004,0.005,U.S. Energy Information Administration,,,,,0.76,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26251,USA,United States of America,Caterpillar,USA0050935,13.3,40.4175,-86.8447,Oil,Gas,,,2005.0526315789475,Caterpillar Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,32.209,37.457,40.221,28.342,33.82600000000001,36.21,38.16499999999999,U.S. Energy Information Administration,,,,,7.79,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26255,USA,United States of America,Cayuga,USA0001001,1184.8999999999996,39.9242,-87.4244,Coal,Oil,Gas,,1973.097560975611,Duke Energy Indiana  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,30785,2019.0,0.0,4527.375985,4992.861971,0.0,0.0,0.0,3513.812956,U.S. Energy Information Administration,,,,,5473.26,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26257,USA,United States of America,Cedar Bayou,USA0003460,1530.0,29.75,-94.9256,Gas,,,,1971.5,NRG Texas Power LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,22391,2019.0,1232.281,1313.92,2342.859,1447.075,1692.521,1437.763,2185.549,U.S. Energy Information Administration,,,,,5395.53,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26258,USA,United States of America,Cedar Bayou 4,USA0056806,535.5,29.7516,-94.9231,Gas,,,,2009.0,NRG Cedar Bayou Development Company LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,22391,2019.0,1037.4540000000002,1048.105,1300.541,1249.776,1430.973,623.34,618.6320000000001,U.S. Energy Information Administration,,,,,1888.43,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26279,USA,United States of America,Celanese Acetate LLC,USA0052089,27.2,37.3439,-80.765,Gas,Oil,,,1950.558823529412,Celanese Acetate LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,169.40941,152.78661600000004,148.58818,0.0,0.0,0.0,179.857,U.S. Energy Information Administration,,,,,95.92,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26281,USA,United States of America,Cellu Tissue,USA0058116,3.0,41.7761,-72.6067,Gas,,,,2009.0,Dunn Paper East Hartford  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,14.058,15.583,15.655,14.621,15.141,13.542,15.158,U.S. Energy Information Administration,,,,,10.57,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26284,USA,United States of America,Centennial,USA0007112,3.3,55.1214,-131.5603,Oil,,,,1987.0,Metlakatla Power & Light,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,26128,2019.0,-0.189,-0.039,1.328,3.0460000000000003,3.568,5.578,2.464,U.S. Energy Information Administration,,,,,1.93,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26285,USA,United States of America,Centennial Generating Station,USA0057910,11.5,46.8661,-96.7464,Oil,,,,2011.0,City of Moorhead - (MN),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,-0.267,-0.278,-0.241,-0.2,-0.204,-0.233,-0.224,U.S. Energy Information Administration,,,,,6.73,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26287,USA,United States of America,Center,USA0000491,1.5,37.7536,-106.1047,Oil,,,,1960.3333333333333,City of Center - (CO),U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,15811,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U.S. Energy Information Administration,,,,,0.87,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26290,USA,United States of America,Center Hybrid,USA0056475,59.8,33.9296,-118.1046,Gas,Storage,,,2008.672240802676,Southern California Edison Co,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,19.979,19.464,28.755,27.378,0.0,0.0,10.361,U.S. Energy Information Administration,,,,,210.88,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26296,USA,United States of America,Central CA Fuel Cell 1,USA0063439,2.8,36.1835,-119.3743,Gas,,,,2018.0,Clearway Energy  Inc,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,,,,17.721,U.S. Energy Information Administration,,,,,9.87,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26298,USA,United States of America,Central Energy Facility,USA0058400,5.5,34.6794,-82.8403,Gas,,,,2000.0,Clemson University - Main Campus,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,4.87,3.258,1.5738800000000002,0.539,0.231,0.129,0.238,U.S. Energy Information Administration,,,,,19.39,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26299,USA,United States of America,Central Energy Plant,USA0007294,70.0,28.4263,-81.5809,Gas,Oil,,,1989.0,Reedy Creek Improvement Dist,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,354.42399800000004,0.0,262.79400300000003,0.0,0.0,0.0,11.199,U.S. Energy Information Administration,,,,,246.85,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26300,USA,United States of America,Central Energy Plant USU,USA0058139,5.0,41.7486,-111.8117,Gas,Oil,,,2004.0,Utah State University,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,60728,2019.0,0.0,0.0,0.0,0.0,27.825,0.0,33.513,U.S. Energy Information Administration,,,,,17.63,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26302,USA,United States of America,Central Michigan University,USA0056190,4.8,43.5905,-84.779,Gas,Waste,Oil,,1990.375,Central Michigan University,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,15923,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,29.40117,U.S. Energy Information Administration,,,,,16.92,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26304,USA,United States of America,Central Plant,USA0010280,4.1,34.8718,-82.366,Oil,,,,1999.9512195121952,Bob Jones University,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,14704,2019.0,0.004,0.0,0.0,0.0,0.01568,0.0,0.0,U.S. Energy Information Administration,,,,,2.4,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26305,USA,United States of America,Central Power Plant,USA0050621,11.0,41.745,-71.4584,Gas,Oil,,,1997.636363636364,State of Rhode Island,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,,,,0.0,27.766000000000005,0.0,26.775,U.S. Energy Information Administration,,,,,38.79,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26306,USA,United States of America,Central Utilities Plant LAX 2,USA0058258,9.2,33.9439,-118.4042,Gas,,,,2015.0,LAX Airport,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,25080,2019.0,,,10.81038,30.744560000000003,29.13148,30.61618,32.39782,U.S. Energy Information Administration,,,,,32.44,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
26307,USA,United States of America,Central Utility Plant,USA0010184,14.3,30.3974,-97.8426,Gas,Oil,,,1988.0,Silicon Hills Campus  LLC,U.S. Energy Information Administration,http://www.eia.gov/electricity/data/browser/,U.S. Energy Information Administration,,2019.0,20.998,20.880000000000003,21.393,19.938,19.068,19.377,12.216,U.S. Energy Information Administration,,,,,50.42,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
